source_log	elapsed_wall	peak_rss_kib	exit_status	interpretation
logs/phase3_final/candidates/freeze_final_fusion.time.log	0:01.46	181064	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/coloc/coloc_abf_fusion_candidates_v2.time.log	0:34.39	319104	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/coloc/susie_coloc_fusion_candidates.time.log	0:56.76	430880	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919906.time.log	34:48.71	11801668	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919907.time.log	34:34.27	11763900	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919908.time.log	34:36.14	11900544	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919909.time.log	31:00.29	11690872	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919910.time.log	17:53.51	11590840	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919911.time.log	22:51.95	11961420	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919912.time.log	20:36.84	11804952	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919913.time.log	17:51.30	11630728	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919914.time.log	17:43.02	11629032	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919915.time.log	24:04.32	11859056	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919916.time.log	24:06.59	11862136	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919917.time.log	23:38.32	11962964	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919918.time.log	20:47.62	11929860	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919919.time.log	20:29.40	11940832	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919920.time.log	20:14.49	11892244	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919921.time.log	15:57.18	11641896	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919922.time.log	14:38.35	11592176	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919923.time.log	19:34.42	11937376	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gsmap/gsmap_main_GSM6919924.time.log	18:20.42	11803844	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/gwas_qc/phase3_gwas_qc_02_autosome_fix.time.log	5:43.42	631488	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/magma/magma_full_02.time.log	58:33.27	1405760	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/magma/magma_noMHC_pathways_03.time.log	1:10.33	203748	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/singlecell/singlecell_base_01.time.log	5:12.17	4154952	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/singlecell/spinal_spatial_label_transfer_02.time.log	1:43.77	7398056	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/twas/fusion_conditional_joint.time.log	0:54.00	2288768	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
logs/phase3_final/twas/fusion_full_5tissues_2traits.time.log	8:24.30	1457704	0	recorded successful task; parent/child overlap and reused outputs mean timings are not additive
