resource	accession_or_release	role	source_url	build	redistributable	expected_filename	checksum_if_known	notes
FinnGen strict sciatica	DF13 M13_SCIATICA	primary GWAS	https://www.finngen.fi/en/access_results	GRCh38	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	data/gwas/FinnGen_DF13_M13_SCIATICA.gz	NOT_RECORDED_HERE	FinnGen access terms; no INFO column reconstructed
FinnGen LDH	DF13 M13_LUMBAR_PROLAPSE	structural reference	https://www.finngen.fi/en/access_results	GRCh38	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	data/gwas/FinnGen_DF13_M13_LUMBAR_PROLAPSE.gz	NOT_RECORDED_HERE	same release/shared controls
FinnGen height	DF13 HEIGHT_IRN	LD-preserving reference trait	https://www.finngen.fi/en/access_results	GRCh38	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	data/gwas/finngen_R13_HEIGHT_IRN.gz	NOT_RECORDED_HERE	See data/README.md
FUSION GTEx weights	GTEx v8 EUR	five-tissue prediction models	https://gusevlab.org/projects/fusion/	GRCh37 LD matching	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	work/software/phase3_twas/FUSION_WEIGHTS_EUR	NOT_RECORDED_HERE	Exact per-tissue URLs in download_fusion_weights.sh
GTEx PredictDB lookup	GTEx v8 MASHR	gene identifier/coordinate lookup only	https://predictdb.org/	GRCh38	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	work/software/phase3_twas/predictdb_core/eqtl/mashr	NOT_RECORDED_HERE	See data/README.md
eQTL Catalogue macrophage_naive	QTD000001	targeted full-cis QTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000001/QTD000001/QTD000001.all.tsv.gz	GRCh38	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	QTD000001.all.tsv.gz	NOT_RECORDED_HERE	Remote tabix queries require the matching index; no significant-only QTL substitution
eQTL Catalogue monocyte_BLUEPRINT	QTD000021	targeted full-cis QTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000021/QTD000021.all.tsv.gz	GRCh38	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	QTD000021.all.tsv.gz	NOT_RECORDED_HERE	Remote tabix queries require the matching index; no significant-only QTL substitution
eQTL Catalogue spinal_cord	QTD000201	targeted full-cis QTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000201/QTD000201.all.tsv.gz	GRCh38	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	QTD000201.all.tsv.gz	NOT_RECORDED_HERE	Remote tabix queries require the matching index; no significant-only QTL substitution
eQTL Catalogue fibroblast	QTD000216	targeted full-cis QTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000216/QTD000216.all.tsv.gz	GRCh38	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	QTD000216.all.tsv.gz	NOT_RECORDED_HERE	Remote tabix queries require the matching index; no significant-only QTL substitution
eQTL Catalogue skeletal_muscle	QTD000281	targeted full-cis QTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000281/QTD000281.all.tsv.gz	GRCh38	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	QTD000281.all.tsv.gz	NOT_RECORDED_HERE	Remote tabix queries require the matching index; no significant-only QTL substitution
eQTL Catalogue tibial_nerve	QTD000286	targeted full-cis QTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000286/QTD000286.all.tsv.gz	GRCh38	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	QTD000286.all.tsv.gz	NOT_RECORDED_HERE	Remote tabix queries require the matching index; no significant-only QTL substitution
eQTL Catalogue whole_blood	QTD000356	targeted full-cis QTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000356/QTD000356.all.tsv.gz	GRCh38	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	QTD000356.all.tsv.gz	NOT_RECORDED_HERE	Remote tabix queries require the matching index; no significant-only QTL substitution
1000 Genomes	Phase 3 EUR	FUSION and SuSiE LD	https://www.internationalgenome.org/	GRCh37	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	work/software/phase3_twas/LDREF/1000G.EUR.{chr}.{bed,bim,fam}	NOT_RECORDED_HERE	See data/README.md
LDSC reference	EUR HapMap3	LD scores and weights	https://github.com/bulik/ldsc	GRCh37	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	raw/ld/ldsc_eur_w_ld_chr	NOT_RECORDED_HERE	See data/README.md
GSE222322	GSE222322	adult lumbar spinal Visium	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222322	source-specific; retain processed annotation version	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	raw/geo/GSE222322/unpacked/raw	NOT_RECORDED_HERE	Use exact donor/preparation mapping; inherited object checksum is separately recorded where applicable
GSE243076	GSE243076	adult spinal snRNA reference	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243076	source-specific; retain processed annotation version	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	work/inherited/GSE243076_spinal_snRNA_results5s_annotated.h5ad	NOT_RECORDED_HERE	Use exact donor/preparation mapping; inherited object checksum is separately recorded where applicable
GSE168243	GSE168243	adult DRG snRNA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168243	source-specific; retain processed annotation version	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	raw/geo/GSE168243/unpacked	NOT_RECORDED_HERE	Use exact donor/preparation mapping; inherited object checksum is separately recorded where applicable
MAGMA reference	1.10 / NCBI37.3 / g1000 EUR	gene mapping/LD	https://ctg.cncr.nl/software/magma	GRCh37	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	work/software/phase3_magma	NOT_RECORDED_HERE	See data/README.md
MSigDB C2/GO including Reactome	2026.1.Hs.entrez	pathway gene sets	https://www.gsea-msigdb.org/gsea/msigdb/	Entrez genes	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	raw/phase3_final/msigdb	NOT_RECORDED_HERE	Locked c2.cp and c5.go filenames; source license applies
gsMap reference	production 1.73.7 resources	spatial LD/gene mapping	https://github.com/JianYang-Lab/gsMap	reference-specific	NOT_REDISTRIBUTED_IN_CODE_REPOSITORY	work/phase3_final/gsmap_resource	NOT_RECORDED_HERE	See data/README.md
